Username,Like_Count,Created_At,Comment
azimk6503,0,2024-11-06 13:58:28,😂😂😂😂😂 no problem Allah know how to handle there creation
gavande.sachinraje,0,2024-11-06 13:12:54,दिखावा 😡
md_sachin_786_,0,2024-11-06 12:50:18,👎👎👎👎👎👎👎👎👎🕉️👎👎😂😂😂😂😂
sohil______qureshi,0,2024-11-06 11:30:37,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
realsoul189,0,2024-11-06 10:57:32,Exmuslim Sharukh Khan 🙏
arvindabenr,0,2024-11-06 09:34:38,🙏🙏🙏❤️❤️❤️
sameersaifi_7,1,2024-11-06 08:47:14,Respect all religions but follow your religion 🙂
dineshmmishra001133,0,2024-11-06 03:19:29,❤️❤️❤️
swarankl,0,2024-11-06 01:26:02,May God bless you always Sharukhaan
ashu__nishad___,0,2024-11-06 00:06:46,🙏🙏🙏🕉️🕉️
sohailayan550,0,2024-11-05 23:24:37,Muje nafart h asy logon s. 🤢 🤢
sohailayan550,0,2024-11-05 23:20:40,😡😡😡 Allah k sath shrik krna wala ki bakshish nhi
rehmanii06,0,2024-11-05 23:12:27,Kabhi kabhi masjid me bhi jana chahiye sarukh bhai
im_hasan_94,0,2024-11-05 20:02:47,Astagfirullah 😟
im_hasan_94,0,2024-11-05 20:02:34,😓😓😓
janvi27908,0,2024-11-05 19:06:12,Ganpati Bappa Morya ❤️
omg_kundan_m_18,0,2024-11-05 17:51:38,🙏
pramodappolo8,0,2024-11-05 17:30:51,❤️❤️
_i__am__sad___boy,0,2024-11-05 17:00:47,Astagfirullah 😮😮
ghostrider99928,0,2024-11-05 16:44:13,Why muslims crying are bhai jab hindu se salam ya allahukabar bulwate gaano me hindu khuda shabd sun leta bol leta  ajmer Sharif hindu chala jata nizzamudin darga Delhi me bhi gya hua tab tum muslimo ko kya problem agar srk ne Puja karli yhi wjha se tumhare religion ki bessati hoti Puri dunia me kyuki tum ghul mil ke nhi reh sakte majority muslims ese hai educated muslims bhut kam
chandrabhanu.negi,0,2024-11-05 16:43:28,Jai shree raam
shahid_iqbal123456,0,2024-11-05 16:16:14,Aree bhaiyon Bollywood me jitna v khan h unme se ek v muslim nhi h .galat fahmi me mat rho k bollywood wala khan muslim h .or in jaison ki wajah se hamara real muslim pagal bna hua h .in jaison ko apna ideal mante h .hadd h yar
itz_vaishu2026,0,2024-11-05 16:11:50,❤️❤️❤️❤️
ii_mr_a_y_a_a_n_120,0,2024-11-05 16:11:23,😡
samim________01,0,2024-11-05 16:00:52,Galat kiya srk allah tujhe kavi maf nahi kare ge
mala61126,0,2024-11-05 16:00:22,Srk ❤️❤️
yogeshwarriiii,0,2024-11-05 15:38:44,❤️
khanzade__143,0,2024-11-05 15:06:23,Paisa chahe jo kra de
mussarathassan6,0,2024-11-05 14:43:21,Paisa sab chezen letai hai emaan bhi
rahman3301ali,0,2024-11-05 14:22:20,😡😡😡
zikar.shaikh.1004,0,2024-11-05 13:54:45,😡😡😡😡😡😡😡😡😡
hka.qadeer,0,2024-11-05 13:50:18,Ye log pasy or logo ko dekhny k liye atna gir skty ha astagfirullah shirk ki mafi ni
hka.qadeer,0,2024-11-05 13:49:36,Khuly aam sirk
hka.qadeer,0,2024-11-05 13:49:28,Astagfirullah 😡
uveshqureshi8697,0,2024-11-05 12:14:39,SrkLAND😡😡😂
ajij______zehen______,0,2024-11-05 11:29:58,Astagfirullah 😢☝️
mohit__sharma086,0,2024-11-05 06:51:42,
lovealwayshurts2021,0,2024-11-05 06:19:40,SRK tiwari
bo_6aher91,0,2024-11-05 05:36:58,🔥😡😡😡😡😡😡😡😡
ravi.gotmare,2,2024-11-04 12:31:20,🙏🙏🙏🙏🙏🙏🙏🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️🕉️🕉️🕉️🕉️🕉️🕉️🔥🔥🔥🔥❤️❤️🔥🔥🔥🔥🔥🔥🔥🙏🔥🔥🔥🔥🔥🔥🙏🙏🙏🙏🙏Kon🙏🙏🙏🙏🙏🙏🙏🙏
moj7.765,0,2024-11-04 12:23:09,Astagfirullah
mk9005909,0,2024-11-04 11:34:31,يا حرام
tina49533,0,2024-11-04 11:15:47,Naam ke muslim h ye
sayan.s_19.10,0,2024-11-04 10:40:42,❤️
shrivastava.amit08,0,2024-11-04 10:24:16,Ab chamche suicide karenge 😂😂😂😂😂
dipak_muspara,2,2024-11-04 10:19:41,Bishnoi ka khof dikh raha 🕉️🕉️
mohd_husain.siddiqui,0,2024-11-04 09:24:39,😡
thebharatprimearmyhiero1989,1,2024-11-04 08:50:22,❤️❤️❤️
thebharatprimearmyhiero1989,1,2024-11-04 08:50:18,🕉️🕉️🕉️
thebharatprimearmyhiero1989,1,2024-11-04 08:50:15,🙏🙏🙏
100rabh_bante,0,2024-11-04 08:45:30,
intakhab_07dz,0,2024-11-04 08:43:48,Iske fan hain hmare Islam ke ladke ladkiya. 😂
__mr_javed_037,0,2024-11-04 08:18:30,Astagfirullah😡😡
arifh_official786,0,2024-11-04 06:54:03,Astagfirullah 😡😡😡😡😡
hassnainabbasi943,0,2024-11-04 05:32:10,😡lanatii sala
faraz.ali.786_12,0,2024-11-04 04:50:12,That's call muslim respect for all other religion
arifkhan1.7,0,2024-11-04 04:41:44,astagfirullah boycott srk😡
ali_bhai_axom,0,2024-11-04 03:49:47,Kusc nahe srk bhai ap k dill maie ta muslim hai a sab ta dekha na parta haie na. Ham ko pata hai ap k dill maie ta Islam hai.hindu lok a se he dekha na he Sai a
6743vk,0,2024-11-04 03:34:25,❤️
__classy_kaish__,0,2024-11-04 03:17:47,Srk unfollow button>>>>>>>>>>>😡
azad_parvez2494,0,2024-11-04 03:10:29,Shirik astagfirullah
mahidul_36,0,2024-11-04 02:23:22,Ye lok darm majaak bana ke rakha hai abhe tu ya to Pooja karle ya to naamaj parle aisa time ayega tu na idar ka rahega na udhar ka rahega
liton_c_dos,0,2024-11-04 00:24:17,Wtf is wrong with gandu ?
___jayed__78,0,2024-11-03 23:43:32,😡
btw_im_sakshiii,1,2024-11-03 23:26:35,🥹🥹🫶🏻
justin___1904,0,2024-11-03 23:11:19,એ લોડા ક્યારેય ની સુધરે
justin___1904,0,2024-11-03 23:10:52,આ લોડા ખાલી દેખાવ કરે બાકી મારો લોડો મિયા આપડા દુશ્મન હતા અને દુશ્મન જ રહેશે
rehaan_basharat,0,2024-11-03 21:54:22,Tuhh ha
niyazanwerofficial,0,2024-11-03 21:25:12,Inko khus kardo thora dikhawa karke taki yah Tera movie dekhe aur inka piche se mar bhi lo inko pata bhi nhi cahle😂😂😂
yenaihosakta87,0,2024-11-03 21:03:23,Astaqfirullah 😑 Allah sahi hidayat de..
froxyvlv,0,2024-11-03 20:47:16,❤️
fatima_nuha_.794,0,2024-11-03 20:41:24,🕉️🕉️🕉️🕉️🕉️🕉️🕉️😡😡😡😡😡😡😡😡😡
sachinkamdle4,0,2024-11-03 09:34:47,❤️❤️❤️❤️🙏🙏🕉️🕉️🕉️😍😍🙏
mamona8765,0,2024-11-03 09:17:27,🙏❤️
bad___boy___badsha___07,0,2024-11-03 09:11:59,astagfirullah 🥲
